"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","LANDED HOUSING DEVELOPMENT","JALAN LABU AYER","Terrace","19","OCR","Freehold","Resale","1","3500000","-","2230","Land","-","1569","Oct-2021"
"2","SEMBAWANG HILLS ESTATE","JALAN RUKAM","Semi-detached","20","OCR","Freehold","Resale","1","6500000","-","3274","Land","-","1985","Oct-2021"
"3","LANDED HOUSING DEVELOPMENT","SANDILANDS ROAD","Terrace","19","OCR","999 yrs lease commencing from 1886","Resale","1","3750000","-","2806","Land","-","1336","Oct-2021"
"4","LANDED HOUSING DEVELOPMENT","PONGGOL SEVENTEENTH AVENUE","Detached","19","OCR","Freehold","Resale","1","5050000","-","6160","Land","-","820","Oct-2021"
"5","GOLDENHILL VILLAS","GOLDEN WALK","Terrace","19","OCR","Freehold","Resale","1","3550000","-","1615","Land","-","2199","Oct-2021"
"6","TAI KENG GARDENS","TAI KENG GARDENS","Semi-detached","19","OCR","Freehold","Resale","1","3920000","-","3443","Land","-","1138","Oct-2021"
"7","LANDED HOUSING DEVELOPMENT","JALAN TELITI","Terrace","19","OCR","Freehold","Resale","1","2400000","-","1795","Land","-","1337","Oct-2021"
"8","TOH ESTATE","TOH CLOSE","Detached","17","OCR","Freehold","Resale","1","7200000","-","6245","Land","-","1153","Oct-2021"
"9","BRADDELL HEIGHTS ESTATE","SERANGOON AVENUE 3","Detached","19","OCR","Freehold","Resale","1","5240000","-","4343","Land","-","1206","Oct-2021"
"10","LUCKY HILL","BEDOK RISE","Semi-detached","16","OCR","Freehold","Resale","1","4550000","-","5069","Land","-","898","Oct-2021"
"11","PARK VILLAS","PARK VILLAS RISE","Terrace","19","OCR","99 yrs lease commencing from 1994","Resale","1","2200000","-","1651","Land","-","1332","Oct-2021"
