index,project name,street name,tenure,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace
0,LANDED HOUSING DEVELOPMENT,DUBLIN ROAD,999,Resale,1.0,5128000.0,-,1720.0,Land,-,2981.0,Jul-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,LANDED HOUSING DEVELOPMENT,JALAN JINTAN,999,Resale,1.0,4908000.0,-,1650.0,Land,-,2974.0,Jan-2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,MACPHERSON GARDEN ESTATE,JALAN KEMAJUAN,999,Resale,1.0,2680000.0,-,903.0,Land,-,2968.0,Oct-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,999,Resale,1.0,8300000.0,-,2799.0,Land,-,2966.0,Sep-2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,LANDED HOUSING DEVELOPMENT,NAMLY RISE,999,Resale,1.0,9500000.0,-,3209.0,Land,-,2961.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,LANDED HOUSING DEVELOPMENT,EVERITT ROAD,999,Resale,1.0,3500000.0,-,1188.0,Land,-,2945.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2700000.0,-,917.0,Land,-,2944.0,Mar-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4800000.0,-,1634.0,Land,-,2938.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,LANDED HOUSING DEVELOPMENT,CHATSWORTH AVENUE,999,Resale,1.0,27380000.0,-,9319.0,Land,-,2938.0,Jan-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,WATTEN ESTATE,SHELFORD ROAD,999,Resale,1.0,4880000.0,-,1664.0,Land,-,2932.0,May-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,999,Resale,1.0,4750000.0,-,1625.0,Land,-,2922.0,Oct-2017,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2700000.0,-,927.0,Land,-,2913.0,Nov-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,LANDED HOUSING DEVELOPMENT,CARPMAEL ROAD,999,Resale,1.0,2000000.0,-,687.0,Land,-,2912.0,Dec-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,LANDED HOUSING DEVELOPMENT,MAKEPEACE ROAD,999,Resale,1.0,4500000.0,-,1549.0,Land,-,2905.0,May-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,LANDED HOUSING DEVELOPMENT,TEMBELING ROAD,999,Resale,1.0,3680000.0,-,1268.0,Land,-,2902.0,Sep-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,LANDED HOUSING DEVELOPMENT,SWETTENHAM CLOSE,999,Resale,1.0,48000000.0,-,16594.0,Land,-,2893.0,Jan-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2650000.0,-,919.0,Land,-,2883.0,Jul-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2650000.0,-,921.0,Land,-,2876.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,LANDED HOUSING DEVELOPMENT,COVE DRIVE,84,Resale,1.0,22800000.0,-,7963.0,Land,-,2863.0,Aug-2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,LANDED HOUSING DEVELOPMENT,MEYAPPA CHETTIAR ROAD,999,Resale,1.0,8000000.0,-,2812.0,Land,-,2845.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,LANDED HOUSING DEVELOPMENT,JALAN TUPAI,999,Resale,1.0,6158888.0,-,2168.0,Land,-,2841.0,Mar-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2720000.0,-,959.0,Land,-,2836.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,LANDED HOUSING DEVELOPMENT,EVERITT ROAD,999,Resale,1.0,4200000.0,-,1481.0,Land,-,2836.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,LANDED HOUSING DEVELOPMENT,JALAN ELOK,999,Resale,1.0,4700000.0,-,1658.0,Land,-,2835.0,Dec-2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2600000.0,-,918.0,Land,-,2832.0,Jan-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,OPERA ESTATE,FIGARO STREET,999,Resale,1.0,4300000.0,-,1520.0,Land,-,2829.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,999,Resale,1.0,5850000.0,-,2084.0,Land,-,2807.0,Jun-2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,LANDED HOUSING DEVELOPMENT,FERNHILL CLOSE,999,Resale,1.0,6250000.0,-,2231.0,Land,-,2801.0,Oct-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,Resale,1.0,6020000.0,-,2153.0,Land,-,2796.0,Aug-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,CAPITOL PARK,JALAN ADAT,999,Resale,1.0,5100000.0,-,1828.0,Land,-,2790.0,Sep-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4675000.0,-,1679.0,Land,-,2784.0,Jul-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4562500.0,-,1640.0,Land,-,2781.0,Nov-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,SHAMROCK PARK,NAMLY PLACE,999,Resale,1.0,5020000.0,-,1806.0,Land,-,2779.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,LANDED HOUSING DEVELOPMENT,MARSHALL ROAD,999,Resale,1.0,2460000.0,-,887.0,Land,-,2774.0,Nov-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,LANDED HOUSING DEVELOPMENT,NIVEN ROAD,999,Resale,1.0,4003888.0,-,1446.0,Land,-,2770.0,Sep-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4698888.0,-,1701.0,Land,-,2763.0,May-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,3520000.0,-,1276.0,Land,-,2760.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,LANDED HOUSING DEVELOPMENT,AMBER ROAD,999,Resale,1.0,7510000.0,-,2722.0,Land,-,2759.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
