index,project name,street name,tenure,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace,type of sale_New Sale,type of sale_Resale,type of sale_Sub Sale
0,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,86,1.0,11288000.0,-,7011.0,Land,-,1610.0,Jul-2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,LANDED HOUSING DEVELOPMENT,SUNSET PLACE,999,1.0,11237500.0,-,7749.0,Land,-,1450.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,LANDED HOUSING DEVELOPMENT,GROVE DRIVE,999,1.0,11200000.0,-,4170.0,Land,-,2686.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,PARADISE ISLAND,PARADISE ISLAND,83,1.0,11200000.0,-,8633.0,Land,-,1297.0,Apr-2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,999,1.0,11200000.0,-,7129.0,Land,-,1571.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,999,1.0,11200000.0,-,11472.0,Land,-,976.0,Jan-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,LANDED HOUSING DEVELOPMENT,SIXTH AVENUE,999,1.0,11200000.0,-,4478.0,Land,-,2501.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,LANDED HOUSING DEVELOPMENT,JALAN ARNAP,999,1.0,11200000.0,-,6212.0,Land,-,1803.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,LANDED HOUSING DEVELOPMENT,GOODMAN ROAD,999,1.0,11200000.0,-,7027.0,Land,-,1594.0,Jun-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,LAUW & SONS GARDEN,CLOVER CRESCENT,999,1.0,11188888.0,-,10034.0,Land,-,1115.0,Apr-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
10,CORONATION VILLE,CORONATION ROAD,853,1.0,11100000.0,-,4923.0,Land,-,2255.0,Mar-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,999,1.0,11100000.0,-,13994.0,Land,-,793.0,Feb-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12,LANDED HOUSING DEVELOPMENT,JALAN SEJARAH,999,1.0,11088800.0,-,6412.0,Land,-,1729.0,Aug-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,999,1.0,11080000.0,-,8062.0,Land,-,1374.0,Nov-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,LANDED HOUSING DEVELOPMENT,POOLE ROAD,999,1.0,11050000.0,-,10571.0,Land,-,1045.0,Dec-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,999,1.0,11000000.0,-,10832.0,Land,-,1016.0,Jul-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,LANDED HOUSING DEVELOPMENT,HARLYN ROAD,999,1.0,11000000.0,-,5382.0,Land,-,2044.0,Mar-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,LANDED HOUSING DEVELOPMENT,GENTLE ROAD,999,1.0,11000000.0,-,7490.0,Land,-,1469.0,Jun-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,LANDED HOUSING DEVELOPMENT,NAMLY HILL,999,1.0,11000000.0,-,7530.0,Land,-,1461.0,Dec-2016,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,LANDED HOUSING DEVELOPMENT,BARKER ROAD,999,1.0,11000000.0,-,7922.0,Land,-,1388.0,May-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,LANDED HOUSING DEVELOPMENT,MARGOLIOUTH ROAD,999,1.0,11000000.0,-,6016.0,Land,-,1828.0,Nov-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,CORAL ISLAND,CORAL ISLAND,83,1.0,11000000.0,-,9325.0,Land,-,1180.0,Mar-2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,LANDED HOUSING DEVELOPMENT,SUNDRIDGE PARK ROAD,999,1.0,11000000.0,-,10826.0,Land,-,1016.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,EDEN PARK,CYPRESS AVENUE,999,1.0,11000000.0,-,6293.0,Land,-,1748.0,Feb-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24,LANDED HOUSING DEVELOPMENT,GUILLEMARD LANE,999,1.0,11000000.0,-,5773.0,Land,-,1906.0,Sep-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,999,1.0,11000000.0,-,9120.0,Land,-,1206.0,Feb-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26,FRANKEL ESTATE,DUNBAR WALK,999,1.0,11000000.0,-,8407.0,Land,-,1308.0,Jan-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,LANDED HOUSING DEVELOPMENT,BUKIT TIMAH ROAD,999,1.0,11000000.0,-,6778.0,Land,-,1623.0,Sep-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,LANDED HOUSING DEVELOPMENT,BROADRICK ROAD,999,1.0,10920000.0,-,5895.0,Land,-,1852.0,Jan-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,LANDED HOUSING DEVELOPMENT,SOMMERVILLE WALK,999,1.0,10900000.0,-,12034.0,Land,-,906.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,LANDED HOUSING DEVELOPMENT,NAMLY GROVE,999,1.0,10900000.0,-,7737.0,Land,-,1409.0,Aug-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,853,1.0,10900000.0,-,6081.0,Land,-,1793.0,Mar-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,LANDED HOUSING DEVELOPMENT,CHESTNUT CRESCENT,999,1.0,10888000.0,-,12012.0,Land,-,906.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
