index,project name,street name,type,tenure,postal district,market segment,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale
0,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,Detached,86,4.0,CCR,Resale,1.0,16550000.0,-,8940.0,Land,-,1851.0,Jun-2017
1,LANDED HOUSING DEVELOPMENT,MERRYN ROAD,Detached,999,11.0,CCR,Resale,1.0,16550000.0,-,8878.0,Land,-,1864.0,Aug-2021
2,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,85,4.0,CCR,Resale,1.0,16500000.0,-,7281.0,Land,-,2266.0,Sep-2020
3,LANDED HOUSING DEVELOPMENT,WALTON ROAD,Detached,999,15.0,RCR,Resale,1.0,16300000.0,-,8673.0,Land,-,1879.0,Jul-2021
4,SANNY PARK,MERRYN ROAD,Detached,999,11.0,CCR,Resale,1.0,16300000.0,-,9064.0,Land,-,1798.0,Aug-2021
5,LANDED HOUSING DEVELOPMENT,OEI TIONG HAM PARK,Detached,999,10.0,CCR,Resale,1.0,16200000.0,-,10061.0,Land,-,1610.0,May-2020
6,RAFFLES PARK,CASSIA DRIVE,Detached,999,11.0,CCR,Resale,1.0,16128000.0,-,10458.0,Land,-,1542.0,Oct-2018
7,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,83,4.0,CCR,Resale,1.0,16000000.0,-,7816.0,Land,-,2047.0,Feb-2021
8,LANDED HOUSING DEVELOPMENT,NAMLY CRESCENT,Semi-detached,999,10.0,CCR,Resale,2.0,16000000.0,-,12689.0,Land,-,1261.0,Feb-2018
9,FRANKEL ESTATE,FRANKEL STREET,Detached,999,15.0,OCR,Resale,1.0,16000000.0,-,7772.0,Land,-,2059.0,Apr-2021
10,EWART PARK,EWART PARK,Detached,999,10.0,CCR,Resale,1.0,15928950.0,-,15465.0,Land,-,1030.0,Apr-2017
11,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Resale,1.0,15880000.0,-,11229.0,Land,-,1414.0,May-2018
12,LANDED HOUSING DEVELOPMENT,SIAN TUAN AVENUE,Detached,857,21.0,RCR,Resale,1.0,15880000.0,-,11615.0,Land,-,1367.0,Mar-2021
13,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,Detached,999,11.0,CCR,Resale,1.0,15800000.0,-,10140.0,Land,-,1558.0,Oct-2017
14,RAFFLES PARK,SUNSET AVENUE,Detached,999,11.0,CCR,Resale,1.0,15700000.0,-,10178.0,Land,-,1542.0,Aug-2018
15,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,Detached,999,10.0,CCR,Resale,1.0,15700000.0,-,4497.0,Land,-,3491.0,Sep-2021
16,LANDED HOUSING DEVELOPMENT,SHELFORD ROAD,Detached,999,11.0,CCR,Resale,1.0,15680000.0,-,10754.0,Land,-,1458.0,Oct-2017
17,LANDED HOUSING DEVELOPMENT,LENGKOK MERAK,Semi-detached,999,10.0,CCR,Resale,1.0,15600000.0,-,4672.0,Land,-,3339.0,Mar-2021
18,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Sub Sale,1.0,15550000.0,-,8009.0,Land,-,1941.0,Jun-2018
19,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,83,4.0,CCR,Resale,1.0,15500000.0,-,8576.0,Land,-,1807.0,Jul-2017
20,DUNEARN ESTATE,TREVOSE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,15500000.0,-,8035.0,Land,-,1929.0,Sep-2018
21,RAFFLES PARK,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,15500000.0,-,9795.0,Land,-,1582.0,Jan-2020
22,BAN GUAN PARK,HOLLAND ROAD,Detached,999,10.0,CCR,Resale,1.0,15500000.0,-,9050.0,Land,-,1713.0,Feb-2020
23,ONE TREE HILL COLLECTION,JALAN KELAWAR,Detached,999,10.0,CCR,New Sale,1.0,15500000.0,-,5145.0,Land,-,3013.0,Feb-2020
24,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,84,4.0,CCR,Resale,1.0,15450000.0,-,10181.0,Land,-,1518.0,Aug-2020
25,LANDED HOUSING DEVELOPMENT,WATTEN ESTATE ROAD,Detached,999,11.0,CCR,Resale,1.0,15352000.0,-,9415.0,Land,-,1631.0,Jun-2021
26,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,Detached,999,11.0,CCR,Resale,1.0,15300000.0,-,9804.0,Land,-,1561.0,Dec-2017
27,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,Detached,999,21.0,RCR,Resale,1.0,15300000.0,-,11155.0,Land,-,1372.0,Oct-2018
28,LANDED HOUSING DEVELOPMENT,DALKEITH ROAD,Detached,999,11.0,CCR,Resale,1.0,15250000.0,-,10030.0,Land,-,1520.0,Oct-2020
29,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Sub Sale,1.0,15200000.0,-,8021.0,Land,-,1895.0,Apr-2019
30,LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,Detached,999,15.0,RCR,Resale,1.0,15080000.0,-,13189.0,Land,-,1143.0,Nov-2016
31,LANDED HOUSING DEVELOPMENT,EAST COAST ROAD,Terrace,999,15.0,RCR,Resale,3.0,15074734.0,-,7556.0,Land,-,1995.0,Nov-2018
